#,id,canonical_key,kind,condition_norm,then_norm,else_norm,has_else,occurrences,min_complexity,max_complexity,avg_complexity
1948,1947,9487a043e3e784a78de51efb008b66cc5d1377c8cf6e07ea0ae5614e0e6f7467,IF,ACCOUNT-NUMBER-IN = <S>,MOVE <S> TO LOAN-RATE,MOVE <S> TO LOAN-RATE,TRUE,1,1,1,1
1949,1948,6e6bcc3acbd90630faa030f0d2329721be354136ed6ed2e1b2b3cd0459c2e0ca,IF,CA-MODEL NOT = <S>,MOVE TEMP-INDEX TO NUMMODEL MOVE CA-MODEL TO VALIDMODEL,,FALSE,1,2,2,2
1950,1949,714c8c1fed5f7b9b68b68b4e6f9705124a610c9af16545cec758abe7aca610dd,IF,DH1 = LD1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1951,1950,3dd694f0705f2ed11ef23ebc5cce71eaa4a165d4a30d0e187e9916633f6025fd,IF,KEYINDS NOT = LOW-VALUES,GO TO KEYPRESS,,FALSE,1,2,2,2
1952,1951,4fcd05de356971f7cd92c3424cf563225cd8e71d2cb06c362485273c4c6bd0d7,IF,H1 = Z1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1953,1952,f1cc0e43efa05fcac10f77b607b2f592145c36f5d552e41c748dd82a90af21e9,IF,E2 = <N>,PERFORM GOOD,PERFORM BAD,TRUE,4,1,1,1
1954,1953,ab82752503f6ddb03e366089a690a9534e48356563b26a209397d8fc5c2dfd64,IF,Z3 = Z1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1955,1954,19ef004f5f7910fed3079246c8cf279652d82aee1bbaa3be25183b674aa6ed5f,IF,IS-VALID-POST AND IS-VALID-INIT,PERFORM B0100-CONNECT IF IS-DB-CONNECTED PERFORM B0200-CGI-DELETE-ROW END-IF,,FALSE,1,2,2,2
1956,1955,dbc728d2265c58ca26abd30b24eb1d6f35b32fd5a79b12186fd50a62f06b3434,IF,LOOPCTRL NOT = <N>,GO TO OCCSUMLP,,FALSE,1,2,2,2
1957,1956,df92dddc725a03fdf07a72b55258b94cba8bd5961d16f7b77d46a3e82db3b049,IF,ED3 = F1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
1958,1957,cb701d765a311ee1ef6c192c9089327e99e66144815ecf1d3c21f8eadfa57916,EVALUATE,OTHER,MOVE <N> TO RET-CODE,,FALSE,1,1,1,1
1959,1958,67aaaccec08131bc991b36673cddcad78b3f0e1daa021b3b46c1709507797bcc,IF,H3 = EH1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
1960,1959,73ab4f21b52780bb50d53b6c5e10e2856405aada770980b677c82328e4d3f452,IF,WS-FLAG = <S>,EXEC_BLOCK_STUB,MOVE <SPACE> TO COMMA-DATA MOVE WRITE-MSG-TEXT TO COMMA-DATA-TEXT MOVE WRITE-MSG-KEY TO COMMA-DATA-KEY,TRUE,1,2,2,2
1961,1960,9123ae270204571b81751d0c32fc8b89f6e98c9b6739207fa3ada73afb6b561c,IF,RUNFAILURECOUNT > <N> OR TESTERROR > <N>,MOVE FAILURE-STR TO RES-STR,MOVE SUCCESS-STR TO RES-STR,TRUE,1,2,2,2
1962,1961,cb8936834e8f7ec369b08744ccdf2cc324197d8c8ea5b4c7e5412be1ea97ddbf,IF,DH3 = LD1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1963,1962,fd7dd231bbc4da583b62b1605ae47160197ac8a3436a5c241f19e24be4169639,IF,COMMZIP NOT = LOW-VALUES,MOVE <S> TO ZIPHDO MOVE COMMZIP TO NEWZIPO,,FALSE,2,2,2,2
1964,1993,ec6170291e9333299797dc0ed357dbb410ace48dd4f44770dddbfe580b6aae1d,IF,NUM01 IS NEGATIVE,DISPLAY <S>,,FALSE,1,1,1,1
1965,1963,bdd08c57db6aef8985e315d484d16e31016bad78ae04d2296b7dcfeeccf1dc39,IF,CA-NUM-MEDICATIONS > <N>,MOVE CA-DRUG-NAME OF CA-MEDICATIONS TO HCM1DNA2O MOVE CA-STRENGTH OF CA-MEDICATIONS TO HCM1DST2O MOVE CA-AMOUNT OF CA-MEDICATIONS TO HCM1DAM2O MOVE CA-ROUTE OF CA-MEDICATIONS TO HCM1DRO2O MOVE CA-FREQUENCY OF CA-MEDICATIONS TO HCM1DFR2O,,FALSE,1,2,2,2
1966,1964,260db269cfaaf36ce5f4d1edc812454465a00f6ba70c3f030d3d798019b87dba,IF,WS-RESP = DFHRESP,EXEC_BLOCK_STUB EXEC_BLOCK_STUB MOVE WS-DATE TO WS-AREA-D MOVE WS-TIME TO WS-AREA-T EXEC_BLOCK_STUB,,FALSE,1,2,2,2
1967,1965,21a9283defc73481a00b8836782d7de97207985bede724b1645a65452ea059cc,IF,HOURLY,DISPLAY <S> PERFORM 2000-PROCESS-HOURLY,IF SALES DISPLAY <S> PERFORM 3000-PROCESS-SALES ELSE IF MANAGEMENT DISPLAY <S> PERFORM 4000-PROCESS-MANAGEMENT ELSE IF DELETED DISPLAY <S> IF CURSOR-FETCHED DISPLAY <S> WS-CURSOR-SWITCH EXEC_BLOCK_STUB ELSE DISPLAY <S> WS-CURSOR-SWITCH IF DELETED AND CURSOR-NOT-FETCHED EXEC_BLOCK_STUB END-IF DISPLAY <S> IF SQLCODE NOT EQUAL TO <N> MOVE SQLCODE TO WS-DISPLAY-SQLCODE DISPLAY <S> WS-DISPLAY-SQLCODE END-IF ELSE DISPLAY <S> WA-EMP-TYPE IF RECORDS-READ NOT EQUAL TO <ZERO> MOVE <S> TO ERROR-LINE WRITE REPORT-RECORD FROM ERROR-LINE END-IF END-IF END-IF END-IF END-IF,TRUE,1,5,5,5
1968,1966,862fd98b4356016670afb9048e3ef94ab64505a4657af4ed214e90567a5809c1,IF,EH3 = LD1,PERFORM G,PERFORM B,TRUE,12,1,1,1
1969,1967,a3332d7b3431ec04b0dd246e7e3ccc71f9dc9e6d854ee2ea64f95e7e8f1c8b48,IF,ACCOUNT-NUMBER-IN = <S>,MOVE <S> TO CUSTOMER-IMPORTANCE,MOVE <S> TO CUSTOMER-IMPORTANCE,TRUE,2,1,1,1
1970,1968,76b54eeef36d3d29b635b7b41958011fc3f0a687994d66aa44b43bd4d344ce2f,IF,H3 = Q1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
1971,1969,bb6bcd89e1099b05034b47ef1937faf75be856a12abd8bbb2d64d430729c3d43,IF,MANAGEMENT,PERFORM 4000-PROCESS-MANAGEMENT,MOVE <S> TO ERROR-LINE WRITE REPORT-RECORD FROM ERROR-LINE,TRUE,3,1,1,1
1972,1970,ec4a927631b766cb9d875931e1cbe8bbd773104e0a43514109b201ef0752ddfe,IF,LD1 = P1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1973,1971,db2f1de8091ebd79cb0b7639c6f82bd4fc5529deb83f1408da0898efc979b8e5,IF,WS-RESP NOT = DFHRESP,MOVE <S> TO LGAC-NCS INITIALIZE DB2-CUSTOMERNUM-INT,MOVE LASTCUSTNUM TO DB2-CUSTOMERNUM-INT,TRUE,1,2,2,2
1974,1972,bf57895d99d94eb557c6db358b893b78ac9a0340862e259870d6fd24287b3c17,IF,IS-DB-CONNECTED,PERFORM B0200-CREATE-STUDENTS-GRADEFILE PERFORM B0250-WRITE-ALL-COURSES-IN-PGRM PERFORM B0300-DISCONNECT,,FALSE,1,2,2,2
1975,1973,6ba61959bdd6fdaa706d80299c8041a0d41d7c71c4257dadba9ccafeeb38231e,IF,ASCII-SO,MOVE <N> TO CHAR-CODE,IF ASCII-SI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DLE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DC1 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DC2 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DC3 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DC4 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NAK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SYN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-ETB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-CAN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-EM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SUB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-ESC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-FS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-GS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-US THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SPC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-EXC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DBQT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PND THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DLR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PCNT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-AMP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SGQT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LPRN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RPRN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-STAR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PLUS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-COMA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DASH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DOT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SLSH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM0 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM1 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM2 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM3 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM4 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM5 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM6 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM7 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM8 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM9 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-COLN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SCLN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LESS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-EQL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-GRTR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-QUES THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-AT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETD THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKSL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-CRT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-UNDS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKTK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWD THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PIPE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-TLDE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DEL THEN MOVE <N> TO CHAR-CODE ELSE MOVE COBOL-STRING TO CHAR-CODE,TRUE,1,39,39,39
1976,1974,c527573c87c6ffdc99570934cc3ec6d31a63e6b604228f61a623bcbd8d7a90f7,EVALUATE,OTHER,GO TO 999-SELECTION1ERROR,,FALSE,1,1,1,1
1977,1975,62b1c37cc005414a023b42a4c843ea54a61117a8b35b50a19ae6a73565a4fc05,IF,G3 = P1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
1978,1976,dacb7c47bf7093cd12e69f4751480c44aaf41dab49327481613f749cb675a731,IF,RETURN-CODE = <N>,DISPLAY <S> WS-OUT-COUNT IF WS-OUT-COUNT NOT = WS-EXPECTED-COUNT THEN PERFORM 6100-FAILED ELSE PERFORM 6100-PASSED END-IF,,FALSE,1,2,2,2
1979,1977,dd59cf0d484cf18f6880428fe94a444025486f863e076295540b33fa8583dd75,IF,EB1 = DD1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1980,1978,7839e0b77007fb4a24d3a219559d4141261e3a65439ec1e2edc6777c611e8a8e,IF,FUNCTION TRIM IS NUMERIC,MOVE FUNCTION TRIM TO FS-AMOUNT,DISPLAY <S> WITH NO ADVANCING GO TO PARA-INVALID-PARSE,TRUE,1,1,1,1
1981,1979,2c131d1f816f2aee1f53b653de818f3e6126cf48c6710c22f8cce45652dd3b22,IF,EIBCALEN NOT <ZERO>,IF EIBCALEN = LENGTH OF DFHCOMMAREA MOVE DFHCOMMAREA TO COMMAREA ELSE EXEC_BLOCK_STUB END-IF,,FALSE,1,2,2,2
1982,1980,bbc7aaf60a743b4cc3442096b5f833517a20f2015e8efbc452b64aa1efae4b5d,EVALUATE,OTHER,MOVE <ZERO> TO OA-BALANCE,,FALSE,1,1,1,1
1983,1981,5e62a1761e289fee6039f6acf1bd0707babb14771c51d45561abeeab6a7acfe8,IF,IS-ID-IN-TABLE,PERFORM B0220-CHANGE-DATAITEM,MOVE <S> TO WC-PRINTSCR-STRING CALL <S> USING WC-PRINTSCR-STRING,TRUE,2,1,1,1
1984,1982,702c2e15692ff8bc516007eccf87745fef0545f4408c4fd8ca94a8e8a538089c,IF,DH3 = LB1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1985,1983,eba1cf93966f988b6f9e6e3cd0f558cfcc1a815844aa2d030ba8aa98628c714e,EVALUATE,OTHER,MOVE <N> TO CLAIMTYPE-LENGTH MOVE <S> TO CLAIMTYPE OF REQUEST,,FALSE,1,1,1,1
1986,1984,d20f1a661382d11c397d325566c0c6530cf0ce4b253a2fd6a66802f4a18166d1,IF,EB3 = F1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1987,1985,9d0e53c4b1d6e6da33bd897c55bd6d0d015ec4e3233e7564b40d7d4d2f3ee9f2,IF,DH1 = DB1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1988,1986,8c2134cc9d2128af22d2be5ce5ef60f14c610254e833a5b3c4d22bbe95d96d6c,EVALUATE,RSP-CLAIM-CICS-RESP = DFHRESP,MOVE <S> TO RSP-CLAIM-OUTPUT-MESSAGE,,FALSE,2,1,1,1
1989,1987,4d05e2a869ace82120713e3510b6ea2c0c3a89bd90843f0967bef9eddeb1ffba,IF,H3 = DB1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
1990,1988,b275cc736d25432127f1baa6ff17c09edc00e0d587b602828d057c6c79e29992,IF,CA-RETURN-CODE > <N>,GO TO NO-DATA,,FALSE,10,1,1,1
1991,1989,964e176e781e2952dbcc562bdb6d097ec42acb54a85da749e95b0e9133b9b9e8,IF,DB3 = P1,PERFORM G,PERFORM B,TRUE,6,1,1,1
1992,1990,b663c2cb0dd30b03f5ed293761a02ef1946dce66413c00af142b88c5800e2484,IF,RET-CODE = <N>,MOVE LOW-VALUE TO GDHPAGNA MOVE PAGEN TO GDHPAGNO EXEC_BLOCK_STUB PERFORM GET-TXN-DETAILS THRU GET-TXN-DETAILS-EXIT EXEC_BLOCK_STUB,,FALSE,1,2,2,2
1993,1991,567aede2e2c792c84a318b70e3ba2863d43558290aae67d4c94a95d0a73d6e46,IF,ASCII-LETI,MOVE <N> TO CHAR-CODE,IF ASCII-LETJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKSL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-CRT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-UNDS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKTK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWD THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PIPE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-TLDE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DEL THEN MOVE <N> TO CHAR-CODE ELSE MOVE COBOL-STRING TO CHAR-CODE,TRUE,1,19,19,19
1994,1994,a8d64dd692f006136dbf40f3e058ce28e3be94e1a409ba3e2ad05ee34611ca35,IF,LD1 = ED1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
1995,1995,af312f380c2c247b8755692286ad5a9e98ec8976e40f8e97c87a376018d61688,IF,READ-RESP = DFHRESP,MOVE HTTP-CONFLICT TO HTTP-409-TEXT PERFORM 9500-STATUS-409 THRU 9500-EXIT PERFORM 9000-RETURN THRU 9000-EXIT,,FALSE,1,2,2,2
1996,1996,09bde9557e4275bb4f8a4885329bec6c94801b34220b2bddd2aa5bf72e7bc36f,EVALUATE,ENT1OPTO = <S>,MOVE <S> TO CA-REQUEST-ID MOVE ENT1CNOO TO CA-CUSTOMER-NUM EXEC_BLOCK_STUB IF CA-RETURN-CODE > <N> GO TO NO-DATA END-IF MOVE CA-FIRST-NAME TO ENT1FNAI MOVE CA-LAST-NAME TO ENT1LNAI MOVE CA-DOB TO ENT1DOBI MOVE CA-HOUSE-NAME TO ENT1HNMI MOVE CA-HOUSE-NUM TO ENT1HNOI MOVE CA-POSTCODE TO ENT1HPCI MOVE CA-PHONE-HOME TO ENT1HP1I MOVE CA-PHONE-MOBILE TO ENT1HP2I MOVE CA-EMAIL-ADDRESS TO ENT1HMOI EXEC_BLOCK_STUB EXEC_BLOCK_STUB MOVE <S> TO CA-REQUEST-ID MOVE ENT1CNOI TO CA-CUSTOMER-NUM MOVE ENT1FNAI TO CA-FIRST-NAME MOVE ENT1LNAI TO CA-LAST-NAME MOVE ENT1DOBI TO CA-DOB MOVE ENT1HNMI TO CA-HOUSE-NAME MOVE ENT1HNOI TO CA-HOUSE-NUM MOVE ENT1HPCI TO CA-POSTCODE MOVE ENT1HP1I TO CA-PHONE-HOME MOVE ENT1HP2I TO CA-PHONE-MOBILE MOVE ENT1HMOI TO CA-EMAIL-ADDRESS INSPECT COMM-AREA REPLACING ALL X<S> BY X<S> MOVE FUNCTION UPPER-CASE TO CA-POSTCODE EXEC_BLOCK_STUB IF CA-RETURN-CODE > <N> GO TO NO-UPD END-IF MOVE CA-CUSTOMER-NUM TO ENT1CNOI MOVE <S> TO ENT1OPTI MOVE <S> TO ERRFLDO EXEC_BLOCK_STUB GO TO ENDIT-STARTIT,,FALSE,1,11,11,11
1997,1997,31494e85324aecbfd6a07df9fba016eaeb37cf8b94ae5382215389c9c78b317c,IF,EIBRESP = DFHRESP,MOVE NO-<SPACE>-MESSAGE TO KE-NOSPACE,,FALSE,1,1,1,1
1998,1998,e18d317bec20544e1270271b18d3645d4735249eca23683d60e62cab5c922e8f,IF,INPUTRECORD = <S>,ADD <N> TO TREES,,FALSE,1,1,1,1
1999,1999,99e00e291de93f6ac99dcd9aec811f12d2ed3c7dc47c64f4d34c855026634574,IF,G3 = LD1,PERFORM G,PERFORM B,TRUE,6,1,1,1
2000,2000,1c65319ea92c5f15a5414d7346ea1423d1e0c9f55520006567cf1d4447ec1aa3,IF,EH3 = EB1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
